Graph Size, Average Diameter, Average Sequential Cpu Time (ms), Average OpenACC Time (ms), Average Cuda Time (ms), Average Unified Memory Time (ms), Average Warp Queue Time (ms)
16, 2.90625, 0.00675584ms, 0.00452224ms, 0.898311ms, 2.63948ms, 0.949878ms
16, 5.03125, 0.0117738ms, 0.00912ms, 1.13897ms, 2.63177ms, 1.14949ms
16, 8.5, 0.0103235ms, 0.00913696ms, 1.22253ms, 2.72632ms, 1.13259ms
16, 14.0938, 0.0116176ms, 0.00861344ms, 0.928453ms, 2.67206ms, 1.3798ms
64, 2.95312, 0.0207472ms, 0.015223ms, 1.35593ms, 4.58803ms, 1.38017ms
64, 4.9375, 0.0159149ms, 0.0111216ms, 1.40135ms, 3.26187ms, 1.12774ms
64, 8.35938, 0.0142883ms, 0.0114518ms, 1.10534ms, 2.35304ms, 1.11759ms
64, 15.1797, 0.020248ms, 0.0143629ms, 1.17003ms, 2.70581ms, 1.24925ms
256, 2.99805, 0.0506435ms, 0.0375472ms, 1.23174ms, 4.42517ms, 1.33782ms
256, 4.93945, 0.0541382ms, 0.034481ms, 1.35489ms, 3.75956ms, 1.31834ms
256, 8.51562, 0.0604899ms, 0.0361936ms, 1.12246ms, 2.99878ms, 1.23923ms
256, 14.9434, 0.0752198ms, 0.0397158ms, 1.35723ms, 2.43844ms, 1.13055ms
1024, 3.02148, 0.315332ms, 0.109722ms, 1.52797ms, 5.53737ms, 1.42772ms
1024, 4.94775, 0.320439ms, 0.108018ms, 1.33558ms, 3.45686ms, 19.6663ms
1024, 8.53809, 0.353122ms, 0.0998182ms, 1.16788ms, 3.49332ms, 1.21751ms
1024, 14.9556, 0.445251ms, 0.123182ms, 1.16722ms, 3.08957ms, 1.50618ms
4096, 2.99438, 3.078ms, 0.349339ms, 1.39465ms, 6.76089ms, 1.64556ms
4096, 4.94263, 4.00947ms, 0.344379ms, 1.55052ms, 5.19672ms, 1.48803ms
4096, 8.54529, 3.85082ms, 0.432532ms, 1.60506ms, 4.10074ms, 1.16327ms
4096, 15.0013, 4.10632ms, 0.509419ms, 1.43284ms, 3.54087ms, 1.46624ms
16384, 3.0083, 24.6859ms, 0.994581ms, 1.76502ms, 8.70418ms, 1.97742ms
16384, 4.94934, 32.9554ms, 1.21177ms, 1.61969ms, 5.81246ms, 1.4779ms
16384, 8.53033, 38.8095ms, 1.23441ms, 1.44069ms, 5.76645ms, 1.82675ms
16384, 15.0195, 33.3795ms, 1.68605ms, 1.71578ms, 5.28111ms, 1.73714ms
65536, 3.00101, 517.872ms, 4.23399ms, 2.67211ms, 10.0774ms, 2.57665ms
65536, 4.95708, 819.987ms, 4.08406ms, 2.53391ms, 7.28235ms, 2.59066ms
65536, 8.54564, 974.771ms, 5.63115ms, 2.29324ms, 6.86915ms, 2.44396ms
65536, 15.0219, 1174.97ms, 5.9938ms, 2.98566ms, 7.37778ms, 3.04922ms
262144, 2.99907, 11419.9ms, 8.12791ms, 4.63423ms, 14.5013ms, 4.65992ms
262144, 4.95388, 17864.1ms, 9.26284ms, 4.52709ms, 10.1861ms, 4.61294ms
262144, 8.54723, 21683.8ms, 11.8875ms, 5.36188ms, 8.24674ms, 5.2289ms
262144, 15.0221, 17040.7ms, 18.817ms, 5.5381ms, 9.88493ms, 6.32831ms
